AÑO,MES,ESTACION,CALIDAD_AIRE,CCAA,PROVINCIA,PORCENTAJE_CALIDAD_AIRE
2022,2,A cabana,Buena,Galicia,A Coruña,16.2
2022,2,A cabana,Razonablemente buena,Galicia,A Coruña,83.8
2022,2,Abanto,Buena,País Vasco,Bizkaia,56.76
2022,2,Abanto,Razonablemente buena,País Vasco,Bizkaia,43.24
2022,2,Actur,Buena,Aragón,Zaragoza,10.86
2022,2,Actur,Desfavorable,Aragón,Zaragoza,1.34
2022,2,Actur,Razonablemente buena,Aragón,Zaragoza,79.61
2022,2,Actur,Regular,Aragón,Zaragoza,8.18
2022,2,Agullana (dipòsits d'aigua),Buena,Cataluña,Girona,9.67
2022,2,Agullana (dipòsits d'aigua),Razonablemente buena,Cataluña,Girona,90.33
2022,2,Agurain,Buena,País Vasco,Araba/Álava,34.38
2022,2,Agurain,Razonablemente buena,País Vasco,Araba/Álava,65.63
2022,2,Agüimes,Buena,Canarias,Las Palmas,1.97
2022,2,Agüimes,Desfavorable,Canarias,Las Palmas,20.64
2022,2,Agüimes,Muy desfavorable,Canarias,Las Palmas,0.61
2022,2,Agüimes,Razonablemente buena,Canarias,Las Palmas,70.56
2022,2,Agüimes,Regular,Canarias,Las Palmas,6.22
2022,2,Alacant - rabassa,Buena,Comunitat Valenciana,Alicante/Alacant,26.19
2022,2,Alacant - rabassa,Razonablemente buena,Comunitat Valenciana,Alicante/Alacant,72.02
2022,2,Alacant - rabassa,Regular,Comunitat Valenciana,Alicante/Alacant,1.79
2022,2,Alacant-el plá,Buena,Comunitat Valenciana,Alicante/Alacant,28.4
2022,2,Alacant-el plá,Desfavorable,Comunitat Valenciana,Alicante/Alacant,0.6
2022,2,Alacant-el plá,Razonablemente buena,Comunitat Valenciana,Alicante/Alacant,66.52
2022,2,Alacant-el plá,Regular,Comunitat Valenciana,Alicante/Alacant,4.48
2022,2,Alacant-florida-babel,Buena,Comunitat Valenciana,Alicante/Alacant,27.93
2022,2,Alacant-florida-babel,Desfavorable,Comunitat Valenciana,Alicante/Alacant,0.3
2022,2,Alacant-florida-babel,Razonablemente buena,Comunitat Valenciana,Alicante/Alacant,68.32
2022,2,Alacant-florida-babel,Regular,Comunitat Valenciana,Alicante/Alacant,3.45
2022,2,Alagón,Buena,Aragón,Zaragoza,49.25
2022,2,Alagón,Razonablemente buena,Aragón,Zaragoza,50.75
2022,2,Albacete - parque tecnologico,Buena,Castilla - La Mancha,Albacete,1.03
2022,2,Albacete - parque tecnologico,Desfavorable,Castilla - La Mancha,Albacete,4.12
2022,2,Albacete - parque tecnologico,Razonablemente buena,Castilla - La Mancha,Albacete,92.1
2022,2,Albacete - parque tecnologico,Regular,Castilla - La Mancha,Albacete,2.75
2022,2,Albalat dels tarongers,Buena,Comunitat Valenciana,Valencia/València,45.77
2022,2,Albalat dels tarongers,Razonablemente buena,Comunitat Valenciana,Valencia/València,54.23
2022,2,Alcalá de guadaira,Buena,Andalucía,Sevilla,2.56
2022,2,Alcalá de guadaira,Desfavorable,Andalucía,Sevilla,7.22
2022,2,Alcalá de guadaira,Razonablemente buena,Andalucía,Sevilla,75.34
2022,2,Alcalá de guadaira,Regular,Andalucía,Sevilla,14.89
2022,2,Alcalá de henares,Buena,Comunidad de Madrid,Madrid,19.18
2022,2,Alcalá de henares,Razonablemente buena,Comunidad de Madrid,Madrid,71.45
2022,2,Alcalá de henares,Regular,Comunidad de Madrid,Madrid,9.37
2022,2,Alcanar (llar de jubilats),Buena,Cataluña,Tarragona,100
2022,2,Alcantarilla,Buena,Región de Murcia,Murcia,22.02
2022,2,Alcantarilla,Razonablemente buena,Región de Murcia,Murcia,77.98
2022,2,Alcobendas,Buena,Comunidad de Madrid,Madrid,16.82
2022,2,Alcobendas,Razonablemente buena,Comunidad de Madrid,Madrid,77.98
2022,2,Alcobendas,Regular,Comunidad de Madrid,Madrid,5.21
2022,2,Alcoi - verge dels lliris,Buena,Comunitat Valenciana,Alicante/Alacant,63.64
2022,2,Alcoi - verge dels lliris,Razonablemente buena,Comunitat Valenciana,Alicante/Alacant,36.36
2022,2,Alcora,Buena,Comunitat Valenciana,Castellón/Castelló,15.12
2022,2,Alcora,Desfavorable,Comunitat Valenciana,Castellón/Castelló,3.59
2022,2,Alcora,Razonablemente buena,Comunitat Valenciana,Castellón/Castelló,74.4
2022,2,Alcora,Regular,Comunitat Valenciana,Castellón/Castelló,6.89
2022,2,Alcorcón,Buena,Comunidad de Madrid,Madrid,17.71
2022,2,Alcorcón,Desfavorable,Comunidad de Madrid,Madrid,0.3
