AÑO,MES,ESTACION,CALIDAD_AIRE,CCAA,PROVINCIA,PORCENTAJE_CALIDAD_AIRE
2022,2,Alcalá de henares,Buena,Comunidad de Madrid,Madrid,19.18
2022,2,Alcalá de henares,Razonablemente buena,Comunidad de Madrid,Madrid,71.45
2022,2,Alcalá de henares,Regular,Comunidad de Madrid,Madrid,9.37
2022,2,Alcobendas,Buena,Comunidad de Madrid,Madrid,16.82
2022,2,Alcobendas,Razonablemente buena,Comunidad de Madrid,Madrid,77.98
2022,2,Alcobendas,Regular,Comunidad de Madrid,Madrid,5.21
2022,2,Alcorcón,Buena,Comunidad de Madrid,Madrid,17.71
2022,2,Alcorcón,Desfavorable,Comunidad de Madrid,Madrid,0.3
2022,2,Alcorcón,Razonablemente buena,Comunidad de Madrid,Madrid,77.08
2022,2,Alcorcón,Regular,Comunidad de Madrid,Madrid,4.91
2022,2,Algete,Buena,Comunidad de Madrid,Madrid,7.14
2022,2,Algete,Razonablemente buena,Comunidad de Madrid,Madrid,88.69
2022,2,Algete,Regular,Comunidad de Madrid,Madrid,4.17
2022,2,Aranjuez,Buena,Comunidad de Madrid,Madrid,25.89
2022,2,Aranjuez,Desfavorable,Comunidad de Madrid,Madrid,4.76
2022,2,Aranjuez,Razonablemente buena,Comunidad de Madrid,Madrid,61.9
2022,2,Aranjuez,Regular,Comunidad de Madrid,Madrid,7.44
2022,2,Arganda del rey,Buena,Comunidad de Madrid,Madrid,15.03
2022,2,Arganda del rey,Desfavorable,Comunidad de Madrid,Madrid,2.08
2022,2,Arganda del rey,Razonablemente buena,Comunidad de Madrid,Madrid,73.81
2022,2,Arganda del rey,Regular,Comunidad de Madrid,Madrid,9.08
2022,2,Arturo soria,Buena,Comunidad de Madrid,Madrid,34.67
2022,2,Arturo soria,Desfavorable,Comunidad de Madrid,Madrid,1.04
2022,2,Arturo soria,Razonablemente buena,Comunidad de Madrid,Madrid,58.18
2022,2,Arturo soria,Regular,Comunidad de Madrid,Madrid,6.1
2022,2,Barajas - pueblo,Buena,Comunidad de Madrid,Madrid,34.82
2022,2,Barajas - pueblo,Desfavorable,Comunidad de Madrid,Madrid,0.45
2022,2,Barajas - pueblo,Razonablemente buena,Comunidad de Madrid,Madrid,58.93
2022,2,Barajas - pueblo,Regular,Comunidad de Madrid,Madrid,5.8
2022,2,Barrio del pilar,Buena,Comunidad de Madrid,Madrid,24.7
2022,2,Barrio del pilar,Desfavorable,Comunidad de Madrid,Madrid,1.93
2022,2,Barrio del pilar,Razonablemente buena,Comunidad de Madrid,Madrid,67.71
2022,2,Barrio del pilar,Regular,Comunidad de Madrid,Madrid,5.65
2022,2,Casa de campo,Buena,Comunidad de Madrid,Madrid,19.94
2022,2,Casa de campo,Razonablemente buena,Comunidad de Madrid,Madrid,73.66
2022,2,Casa de campo,Regular,Comunidad de Madrid,Madrid,6.4
2022,2,Castellana,Buena,Comunidad de Madrid,Madrid,44.38
2022,2,Castellana,Desfavorable,Comunidad de Madrid,Madrid,0.62
2022,2,Castellana,Razonablemente buena,Comunidad de Madrid,Madrid,48.07
2022,2,Castellana,Regular,Comunidad de Madrid,Madrid,6.93
2022,2,Collado villalba,Buena,Comunidad de Madrid,Madrid,9.67
2022,2,Collado villalba,Desfavorable,Comunidad de Madrid,Madrid,1.21
2022,2,Collado villalba,Razonablemente buena,Comunidad de Madrid,Madrid,80.36
2022,2,Collado villalba,Regular,Comunidad de Madrid,Madrid,8.76
2022,2,Colmenar viejo,Buena,Comunidad de Madrid,Madrid,27.53
2022,2,Colmenar viejo,Desfavorable,Comunidad de Madrid,Madrid,3.13
2022,2,Colmenar viejo,Razonablemente buena,Comunidad de Madrid,Madrid,63.24
2022,2,Colmenar viejo,Regular,Comunidad de Madrid,Madrid,6.1
2022,2,Coslada,Buena,Comunidad de Madrid,Madrid,12.8
2022,2,Coslada,Desfavorable,Comunidad de Madrid,Madrid,10.12
2022,2,Coslada,Razonablemente buena,Comunidad de Madrid,Madrid,62.2
2022,2,Coslada,Regular,Comunidad de Madrid,Madrid,14.88
2022,2,Cuatro caminos-pablo iglesias,Buena,Comunidad de Madrid,Madrid,39.58
2022,2,Cuatro caminos-pablo iglesias,Desfavorable,Comunidad de Madrid,Madrid,1.19
2022,2,Cuatro caminos-pablo iglesias,Razonablemente buena,Comunidad de Madrid,Madrid,54.32
2022,2,Cuatro caminos-pablo iglesias,Regular,Comunidad de Madrid,Madrid,4.91
2022,2,El atazar,Razonablemente buena,Comunidad de Madrid,Madrid,100
2022,2,El pardo,Buena,Comunidad de Madrid,Madrid,56.99
2022,2,El pardo,Razonablemente buena,Comunidad de Madrid,Madrid,43.01
2022,2,Ensanche de vallecas,Buena,Comunidad de Madrid,Madrid,31.4
2022,2,Ensanche de vallecas,Desfavorable,Comunidad de Madrid,Madrid,2.53
2022,2,Ensanche de vallecas,Razonablemente buena,Comunidad de Madrid,Madrid,59.52
2022,2,Ensanche de vallecas,Regular,Comunidad de Madrid,Madrid,6.55
2022,2,Escuelas aguirre,Buena,Comunidad de Madrid,Madrid,15.53
2022,2,Escuelas aguirre,Desfavorable,Comunidad de Madrid,Madrid,0.16
2022,2,Escuelas aguirre,Razonablemente buena,Comunidad de Madrid,Madrid,77.17
2022,2,Escuelas aguirre,Regular,Comunidad de Madrid,Madrid,7.14
2022,2,Farolillo,Buena,Comunidad de Madrid,Madrid,20.09
2022,2,Farolillo,Desfavorable,Comunidad de Madrid,Madrid,0.6
2022,2,Farolillo,Razonablemente buena,Comunidad de Madrid,Madrid,75
2022,2,Farolillo,Regular,Comunidad de Madrid,Madrid,4.32
2022,2,Fuenlabrada,Buena,Comunidad de Madrid,Madrid,18.15
2022,2,Fuenlabrada,Desfavorable,Comunidad de Madrid,Madrid,1.49
2022,2,Fuenlabrada,Razonablemente buena,Comunidad de Madrid,Madrid,74.85
2022,2,Fuenlabrada,Regular,Comunidad de Madrid,Madrid,5.51
2022,2,Getafe,Buena,Comunidad de Madrid,Madrid,12.95
2022,2,Getafe,Desfavorable,Comunidad de Madrid,Madrid,5.95
2022,2,Getafe,Razonablemente buena,Comunidad de Madrid,Madrid,57.14
2022,2,Getafe,Regular,Comunidad de Madrid,Madrid,23.96
2022,2,Guadalix de la sierra,Buena,Comunidad de Madrid,Madrid,42.96
2022,2,Guadalix de la sierra,Razonablemente buena,Comunidad de Madrid,Madrid,53.29
2022,2,Guadalix de la sierra,Regular,Comunidad de Madrid,Madrid,3.74
2022,2,Juan carlos i,Buena,Comunidad de Madrid,Madrid,37.5
